,genes,Approved symbol,all_symbols,Previous symbols,Alias symbols,cce_genes_symbols,symbol_updated,CCE_symbol,Hugo_symbol,Previous_symbol,pathway_genes_cce,pathway_genes_hugo,duplicated,Final_symbol
4099,CDCA8,CDCA8,"CDCA8, NA, FLJ12042, MESRGP, BOR, DasraB",NA,"FLJ12042, MESRGP, BOR, DasraB",CDCA8,False,CDCA8,CDCA8,,CDCA8,CDCA8,False,CDCA8
4100,CDCP1,CDCP1,"CDCP1, NA, CD318, SIMA135",NA,"CD318, SIMA135",CDCP1,False,CDCP1,CDCP1,,,,False,CDCP1
4101,CDCP2,CDCP2,"CDCP2, NA, NA",NA,NA,CDCP2,False,CDCP2,CDCP2,,,,False,CDCP2
86,CDH1,CDH1,"CDH1, UVO, uvomorulin, CD324",UVO,"uvomorulin, CD324",CDH1,False,CDH1,CDH1,,CDH1,CDH1,False,CDH1
87,CDH10,CDH10,"CDH10, NA, NA",NA,NA,CDH10,False,CDH10,CDH10,,CDH10,CDH10,False,CDH10
88,CDH11,CDH11,"CDH11, NA, OB, CAD11",NA,"OB, CAD11",CDH11,False,CDH11,CDH11,,CDH11,CDH11,False,CDH11
4102,CDH12,CDH12,"CDH12, NA, Br-cadherin, CDHB",NA,"Br-cadherin, CDHB",CDH12,False,CDH12,CDH12,,CDH12,CDH12,False,CDH12
4103,CDH13,CDH13,"CDH13, NA, CDHH",NA,CDHH,CDH13,False,CDH13,CDH13,,CDH13,CDH13,False,CDH13
4104,CDH15,,,,,,,CDH15,,,CDH15,,False,CDH15
4105,CDH16,CDH16,"CDH16, NA, NA",NA,NA,CDH16,False,CDH16,CDH16,,,,False,CDH16
89,CDH17,CDH17,"CDH17, NA, HPT-1, cadherin",NA,"HPT-1, cadherin",CDH17,False,CDH17,CDH17,,CDH17,CDH17,False,CDH17
4106,CDH18,CDH18,"CDH18, NA, CDH14, EY-CADHERIN",NA,"CDH14, EY-CADHERIN",CDH18,False,CDH18,CDH18,,CDH18,CDH18,False,CDH18
4107,CDH19,,,,,,,CDH19,,,,,False,CDH19
4109,CDH2,CDH2,"CDH2, NCAD, CDHN, CD325",NCAD,"CDHN, CD325",CDH2,False,CDH2,CDH2,,CDH2,CDH2,False,CDH2
4108,CDH20,CDH20,"CDH20, NA, CDH7L3, Cdh7",NA,"CDH7L3, Cdh7",CDH20,False,CDH20,CDH20,,,,False,CDH20
4110,CDH22,CDH22,"CDH22, C20orf25, dJ998H6.1",C20orf25,dJ998H6.1,CDH22,False,CDH22,CDH22,,,,False,CDH22
4111,CDH23,CDH23,"CDH23, DFNB12, USH1D, CDHR23","DFNB12, USH1D",CDHR23,CDH23,False,CDH23,CDH23,,CDH23,CDH23,False,CDH23
4112,CDH24,CDH24,"CDH24, NA, CDH11L",NA,CDH11L,CDH24,False,CDH24,CDH24,,CDH24,CDH24,False,CDH24
4113,CDH26,CDH26,"CDH26, NA, VR20",NA,VR20,CDH26,False,CDH26,CDH26,,,,False,CDH26
4115,CDH3,CDH3,"CDH3, NA, CDHP, PCAD",NA,"CDHP, PCAD",CDH3,False,CDH3,CDH3,,CDH3,CDH3,True,CDH3
4116,CDH4,CDH4,"CDH4, NA, R-CAD",NA,R-CAD,CDH4,False,CDH4,CDH4,,CDH4,CDH4,False,CDH4
4117,CDH5,CDH5,"CDH5, NA, 7B4, CD144",NA,"7B4, CD144",CDH5,False,CDH5,CDH5,,CDH5,CDH5,False,CDH5
4118,CDH6,CDH6,"CDH6, NA, NA",NA,NA,CDH6,False,CDH6,CDH6,,CDH6,CDH6,False,CDH6
4119,CDH7,CDH19,"CDH19, NA, CDH7",NA,CDH7,CDH7,True,CDH7,CDH19,CDH7,CDH7,,True,CDH7
4121,CDH8,CDH8,"CDH8, NA, NA",NA,NA,CDH8,False,CDH8,CDH8,,CDH8,CDH8,False,CDH8
4122,CDH9,CDH9,"CDH9, NA, NA",NA,NA,CDH9,False,CDH9,CDH9,,CDH9,CDH9,False,CDH9
4123,CDHR1,CDHR1,"CDHR1, PCDH21, KIAA1775, CORD15, RP65",PCDH21,"KIAA1775, CORD15, RP65",CDHR1,False,CDHR1,CDHR1,,,,False,CDHR1
4124,CDHR2,CDHR2,"CDHR2, PCDH24, PC-LKC, FLJ20124, FLJ20383, PCLKC",PCDH24,"PC-LKC, FLJ20124, FLJ20383, PCLKC",CDHR2,False,CDHR2,CDHR2,,,,False,CDHR2
4125,CDHR3,CDHR3,"CDHR3, NA, FLJ44366, FLJ23834, CDH28",NA,"FLJ44366, FLJ23834, CDH28",CDHR3,False,CDHR3,CDHR3,,,,False,CDHR3
4126,CDHR4,CDHR4,"CDHR4, CDH29, VLLR9392",CDH29,VLLR9392,CDHR4,False,CDHR4,CDHR4,,,,False,CDHR4
4127,CDHR5,CDHR5,"CDHR5, MUCDHL, MUPCDH, FLJ20219, MU-PCDH","MUCDHL, MUPCDH","FLJ20219, MU-PCDH",CDHR5,False,CDHR5,CDHR5,,,,False,CDHR5
4128,CDIPT,CDIPT,"CDIPT, NA, PIS1, PIS",NA,"PIS1, PIS",CDIPT,False,CDIPT,CDIPT,,CDIPT,CDIPT,False,CDIPT
4139,CDK1,CDK1,"CDK1, CDC2, CDC28A",CDC2,CDC28A,CDK1,False,CDK1,CDK1,,CDK1,CDK1,False,CDK1
4129,CDK10,CDK10,"CDK10, NA, PISSLRE",NA,PISSLRE,CDK10,False,CDK10,CDK10,,,,False,CDK10
4130,CDK11A,CDK11A,"CDK11A, CDC2L3, CDC2L2, PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA","CDC2L3, CDC2L2","PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA",CDK11A,False,CDK11A,CDK11A,,CDK11A,CDK11A,False,CDK11A
4131,CDK11B,CDK11B,"CDK11B, CDC2L1, CDK11-p110, CDK11-p58, CDK11-p46",CDC2L1,"CDK11-p110, CDK11-p58, CDK11-p46",CDK11B,False,CDK11B,CDK11B,,CDK11B,CDK11B,False,CDK11B
90,CDK12,CDK12,"CDK12, CRKRS, CRK7, CRKR, KIAA0904",CRKRS,"CRK7, CRKR, KIAA0904",CDK12,False,CDK12,CDK12,,CDK12,CDK12,False,CDK12
4132,CDK13,CDK13,"CDK13, CDC2L5, CHED, CDC2L, KIAA1791",CDC2L5,"CHED, CDC2L, KIAA1791",CDK13,False,CDK13,CDK13,,CDK13,CDK13,False,CDK13
4133,CDK14,,,,,,,CDK14,,,,,False,CDK14
4134,CDK15,CDK15,"CDK15, ALS2CR7, PFTK2, PFTAIRE2","ALS2CR7, PFTK2",PFTAIRE2,CDK15,False,CDK15,CDK15,,,,False,CDK15
4135,CDK16,,,,,,,CDK16,,,,,False,CDK16
4136,CDK17,,,,,,,CDK17,,,,,False,CDK17
4137,CDK18,,,,,,,CDK18,,,,,False,CDK18
4138,CDK19,CDK19,"CDK19, CDK11, CDC2L6, KIAA1028, bA346C16.3","CDK11, CDC2L6","KIAA1028, bA346C16.3",CDK19,False,CDK19,CDK19,,CDK19,CDK19,False,CDK19
580,CDK2,CDK2,"CDK2, NA, NA",NA,NA,CDK2,False,CDK2,CDK2,,CDK2,CDK2,False,CDK2
4140,CDK20,CDK20,"CDK20, CCRK, p42, PNQALRE",CCRK,"p42, PNQALRE",CDK20,False,CDK20,CDK20,,,,False,CDK20
4141,CDK2AP1,CDK2AP1,"CDK2AP1, NA, DORC1, doc-1, DOC1, ST19, p12DOC-1",NA,"DORC1, doc-1, DOC1, ST19, p12DOC-1",CDK2AP1,False,CDK2AP1,CDK2AP1,,,,False,CDK2AP1
4142,CDK2AP2,CDK2AP2,"CDK2AP2, NA, DOC-1R, p14",NA,"DOC-1R, p14",CDK2AP2,False,CDK2AP2,CDK2AP2,,,,False,CDK2AP2
